日期,排名,电影ID,电影名称,影片英文名称,当前票房(万),累计票房(万),累计场次,累计人次(万),天数,票房占比,当前场次,当前人次(万),人次占比,累计上映天数,场均人次,场均收入,上映日期,黄金场票房(万),黄金场场次,黄金场人次(万),黄金场排座(万),黄金场场均人次,票房环比,场次环比,人次环比,场次占比,上午场票房(万),上午场场次,上午场人次(万),下午场票房(万),下午场场次,下午场人次(万),加映场票房(万),加映场场次,加映场人次(万),上座率,黄金场票房占比,黄金场场次占比,黄金场人次占比,黄金场上座率,票房占全国比,当前排座(万),排座占比
2023-10-25,1,39755,河边的错误,Only the River Flows,13046497.11,134312963.4,492879,3407767,1,36.03,94058,334487,36.4,5,4,139,2023-10-21,3554062.68,25344,93124,3504945,4,-5.7,-0.47,-5.58,27.58,1366107.11,9629,34710,5896068.9,42596,149897,2170131.28,15182,55173,2.61,27.24,26.95,27.84,2.66,100,12821633,30.8
2023-10-25,2,39741,坚如磐石,Under The Light,5675035.26,1284150654,2495243,30041212,1,15.67,61512,141588,15.41,28,2,92,2023-09-28,1525185.63,16327,39362,2259633,2,-4.56,-0.67,-4.67,18.04,623196.03,6659,15269,2625670.53,28632,64749,860656.99,8754,21217,1.69,26.88,26.54,27.8,1.74,100,8385961,20.14
2023-10-25,3,39740,志愿军：雄兵出击,THE VOLUNTEERS：TO THE WAR,5163850.1,753447603.3,1866613,18218459,1,14.26,44177,132738,14.44,28,3,117,2023-09-28,1331509.78,11442,35008,1374798,3,14.17,0.13,14.44,12.95,684173.64,5291,17268,2506324.98,20848,63876,597994.46,4998,15473,2.58,25.79,25.9,26.37,2.55,100,5142594,12.35
2023-10-25,4,39745,莫斯科行动,Moscow Mission,4000745.19,623497771.4,1521342,14719125,1,11.05,40682,100634,10.95,27,2,98,2023-09-29,1076466.54,10430,27897,1214421,3,0.86,0.53,0.86,11.93,415380.41,4470,10188,1839699.53,19162,45833,641691.83,5966,15997,2.14,26.91,25.64,27.72,2.3,100,4692212,11.27
2023-10-25,5,39742,前任4：英年早婚,The Ex-file 4,3453758.51,955735109.9,2099460,22709463,1,9.54,44321,87595,9.53,28,2,78,2023-09-28,913297.34,11184,23851,1257576,2,-5.04,-0.26,-5.1,13,339367.56,4689,8490,1569111.25,20742,39376,604225.42,6804,15163,1.78,26.44,25.23,27.23,1.9,100,4931477,11.84
2023-10-25,6,39637,潜艇总动员：环游地球80天,Around The World In 80 Days,1141350.9,47850359.13,82283,943074,1,3.15,291,18420,2,75,63,3922,2023-08-12,0,1,0,133,0,8.02,6.2,7.63,0.09,55140,1,919,0,0,0,58520,1,836,35.66,0,0.34,0,0,100,51653,0.12
2023-10-25,7,39725,好像也没那么热血沸腾,Lose To Win,873474.21,170576940.2,607517,4064354,1,2.41,11643,22166,2.41,28,2,75,2023-09-28,238128.61,2509,6047,248391,2,1.52,1.11,1.31,3.41,104027.86,1666,2619,394368.29,5855,9985,129556.69,1435,3309,1.92,27.26,21.55,27.28,2.43,100,1154066,2.77
2023-10-25,8,39760,最好的相遇,An Encounter To Remember,738539.68,15063839.61,198766,389691,1,2.04,22490,19318,2.1,6,1,33,2023-10-20,186544,4879,5022,492256,1,-9.99,-5.22,-9.73,6.59,75616.91,2702,1954,325483.62,10767,8403,146314.75,3650,3815,0.86,25.26,21.69,26,1.02,100,2249590,5.4
2023-10-25,9,39512,小马鞭,THE LITTLE HORSEWHIP,346997.97,2012085.03,3076,50066,1,0.96,404,8660,0.94,10,21,859,2023-10-16,19509.73,32,488,4698,15,51.7,16.09,51.53,0.12,18006.69,22,448,100782.69,112,2522,6145.86,5,153,24.6,5.62,7.92,5.64,10.39,100,35210,0.08
2023-10-25,10,39653,觅渡,PATHFINDERS,315196.02,17888130.73,7654,487657,1,0.87,151,9457,1.03,59,63,2087,2023-08-28,33679.22,10,896,1035,90,1.27,17.97,18.9,0.04,22563.33,10,563,106946.8,40,2936,1306.67,2,34,44.12,10.69,6.62,9.47,86.57,100,21437,0.05
